gorovje,ime,ogledi,priljubljenost,st_poti,st_slik,visina,vrsta
"Goriško, Notranjsko in Snežniško hribovje",Snežnik,906007,99,12,32,1796,"vrh, koča"
"Goriško, Notranjsko in Snežniško hribovje",Snežnik,906007,99,12,32,1796,"vrh, koča"
"Goriško, Notranjsko in Snežniško hribovje",Mali Snežnik,433707,84,4,8,1694,vrh
"Goriško, Notranjsko in Snežniško hribovje",Mali Snežnik,433707,84,4,8,1694,vrh
"Goriško, Notranjsko in Snežniško hribovje",Mali Golak,657989,97,5,4,1495,vrh
"Goriško, Notranjsko in Snežniško hribovje",Mali Golak,657989,97,5,4,1495,vrh
"Goriško, Notranjsko in Snežniško hribovje",Srednji Golak,400556,80,3,2,1480,vrh
"Goriško, Notranjsko in Snežniško hribovje",Srednji Golak,400556,80,3,2,1480,vrh
"Goriško, Notranjsko in Snežniško hribovje",Smrekov vrh,1330,23,1,0,1449,vrh
"Goriško, Notranjsko in Snežniško hribovje",Smrekov vrh,1330,23,1,0,1449,vrh
"Goriško, Notranjsko in Snežniško hribovje",Mrzovec,416642,82,5,10,1410,vrh
"Goriško, Notranjsko in Snežniško hribovje",Mrzovec,416642,82,5,10,1410,vrh
"Goriško, Notranjsko in Snežniško hribovje",Veliki Modrasovec,469817,87,7,2,1353,vrh
"Goriško, Notranjsko in Snežniško hribovje",Veliki Modrasovec,469817,87,7,2,1353,vrh
"Goriško, Notranjsko in Snežniško hribovje",Bukov Vrh (Trnovski gozd),287792,68,0,4,1314,vrh
"Goriško, Notranjsko in Snežniško hribovje",Bukov Vrh (Trnovski gozd),287792,68,0,4,1314,vrh
"Goriško, Notranjsko in Snežniško hribovje",Suhi vrh (Nanos),635117,97,10,3,1313,vrh
"Goriško, Notranjsko in Snežniško hribovje",Suhi vrh (Nanos),635117,97,10,3,1313,vrh
"Goriško, Notranjsko in Snežniško hribovje",Mali Modrasovec,326304,73,3,4,1305,vrh
"Goriško, Notranjsko in Snežniško hribovje",Mali Modrasovec,326304,73,3,4,1305,vrh
"Goriško, Notranjsko in Snežniško hribovje",Poldanovec,462894,87,3,4,1299,vrh
"Goriško, Notranjsko in Snežniško hribovje",Poldanovec,462894,87,3,4,1299,vrh
"Goriško, Notranjsko in Snežniško hribovje",Goteniški Snežnik,382780,79,2,2,1289,vrh
"Goriško, Notranjsko in Snežniško hribovje",Goteniški Snežnik,382780,79,2,2,1289,vrh
"Goriško, Notranjsko in Snežniško hribovje",Srednja gora (Hrušica),265324,65,2,1,1275,vrh
"Goriško, Notranjsko in Snežniško hribovje",Srednja gora (Hrušica),265324,65,2,1,1275,vrh
"Goriško, Notranjsko in Snežniško hribovje",Veliki Javornik (Javorniki),519927,92,3,8,1268,vrh
"Goriško, Notranjsko in Snežniško hribovje",Veliki Javornik (Javorniki),519927,92,3,8,1268,vrh
"Goriško, Notranjsko in Snežniško hribovje",Streliški vrh (Hrušica),294230,69,2,4,1266,vrh
"Goriško, Notranjsko in Snežniško hribovje",Streliški vrh (Hrušica),294230,69,2,4,1266,vrh
"Goriško, Notranjsko in Snežniško hribovje",Iztokova koča pod Golaki,493936,90,3,7,1260,koča
"Goriško, Notranjsko in Snežniško hribovje",Iztokova koča pod Golaki,493936,90,3,7,1260,koča
"Goriško, Notranjsko in Snežniško hribovje",Turn,275257,67,1,2,1254,vrh
"Goriško, Notranjsko in Snežniško hribovje",Turn,275257,67,1,2,1254,vrh
"Goriško, Notranjsko in Snežniško hribovje",Kuk (Kolovrat),472920,88,3,9,1243,vrh
"Goriško, Notranjsko in Snežniško hribovje",Kuk (Kolovrat),472920,88,3,9,1243,vrh
"Goriško, Notranjsko in Snežniško hribovje",Dom na Sviščakih,355350,76,1,1,1242,koča
"Goriško, Notranjsko in Snežniško hribovje",Dom na Sviščakih,355350,76,1,1,1242,koča
"Goriško, Notranjsko in Snežniško hribovje",Koča Antona Bavčerja na Čavnu,564895,94,7,7,1242,koča
"Goriško, Notranjsko in Snežniško hribovje",Koča Antona Bavčerja na Čavnu,564895,94,7,7,1242,koča
"Goriško, Notranjsko in Snežniško hribovje",Javornik nad Črnim Vrhom,568205,95,8,7,1240,vrh
"Goriško, Notranjsko in Snežniško hribovje",Javornik nad Črnim Vrhom,568205,95,8,7,1240,vrh
"Goriško, Notranjsko in Snežniško hribovje",Vojkova koča na Nanosu,931252,99,16,13,1240,"vrh, koča"
"Goriško, Notranjsko in Snežniško hribovje",Vojkova koča na Nanosu,931252,99,16,13,1240,"vrh, koča"
"Goriško, Notranjsko in Snežniško hribovje",Veliki Rob,480743,89,10,9,1237,vrh
"Goriško, Notranjsko in Snežniško hribovje",Veliki Rob,480743,89,10,9,1237,vrh
"Goriško, Notranjsko in Snežniško hribovje",Kucelj na Čavnu,551549,94,12,14,1237,vrh
"Goriško, Notranjsko in Snežniško hribovje",Kucelj na Čavnu,551549,94,12,14,1237,vrh
"Goriško, Notranjsko in Snežniško hribovje",Rezinski vrh,191663,57,1,3,1231,vrh
"Goriško, Notranjsko in Snežniško hribovje",Rezinski vrh,191663,57,1,3,1231,vrh
"Goriško, Notranjsko in Snežniško hribovje",Sveti Duh (Hrušica),235335,62,2,4,1221,"vrh, cerkev"
"Goriško, Notranjsko in Snežniško hribovje",Sveti Duh (Hrušica),235335,62,2,4,1221,"vrh, cerkev"
"Goriško, Notranjsko in Snežniško hribovje",Mali Javornik (Javorniki),289775,68,2,1,1219,vrh
"Goriško, Notranjsko in Snežniško hribovje",Mali Javornik (Javorniki),289775,68,2,1,1219,vrh
"Goriško, Notranjsko in Snežniško hribovje",Petelinjek,240555,62,2,2,1212,vrh
"Goriško, Notranjsko in Snežniško hribovje",Petelinjek,240555,62,2,2,1212,vrh
"Goriško, Notranjsko in Snežniško hribovje",Grmada (Nanos),499855,90,7,3,1209,vrh
"Goriško, Notranjsko in Snežniško hribovje",Grmada (Nanos),499855,90,7,3,1209,vrh
"Goriško, Notranjsko in Snežniško hribovje",Velika Jazbina,184618,56,1,1,1201,vrh
"Goriško, Notranjsko in Snežniško hribovje",Velika Jazbina,184618,56,1,1,1201,vrh
"Goriško, Notranjsko in Snežniško hribovje",Nagnoj,251746,64,2,3,1193,vrh
"Goriško, Notranjsko in Snežniško hribovje",Nagnoj,251746,64,2,3,1193,vrh
"Goriško, Notranjsko in Snežniško hribovje",Cerk,215031,60,5,2,1192,vrh
"Goriško, Notranjsko in Snežniško hribovje",Cerk,215031,60,5,2,1192,vrh
"Goriško, Notranjsko in Snežniško hribovje",Stanov rob,298568,69,2,2,1191,vrh
"Goriško, Notranjsko in Snežniško hribovje",Stanov rob,298568,69,2,2,1191,vrh
"Goriško, Notranjsko in Snežniško hribovje",Čaven,589717,95,3,1,1185,vrh
"Goriško, Notranjsko in Snežniško hribovje",Čaven,589717,95,3,1,1185,vrh
"Goriško, Notranjsko in Snežniško hribovje",Škol,349449,75,1,4,1182,vrh
"Goriško, Notranjsko in Snežniško hribovje",Škol,349449,75,1,4,1182,vrh
"Goriško, Notranjsko in Snežniško hribovje",Križna gora (Hrušica),305525,70,3,8,1162,vrh
