gorovje,ime,ogledi,priljubljenost,st_poti,st_slik,visina,vrsta
"Goriško, Notranjsko in Snežniško hribovje",Snežnik,906397,99,12,32,1796,"vrh, koča"
"Goriško, Notranjsko in Snežniško hribovje",Mali Snežnik,433707,84,4,8,1694,vrh
"Goriško, Notranjsko in Snežniško hribovje",Mali Golak,658129,97,5,4,1495,vrh
"Goriško, Notranjsko in Snežniško hribovje",Srednji Golak,400556,80,3,2,1480,vrh
"Goriško, Notranjsko in Snežniško hribovje",Smrekov vrh,1330,23,1,0,1449,vrh
"Goriško, Notranjsko in Snežniško hribovje",Mrzovec,416652,82,5,10,1410,vrh
"Goriško, Notranjsko in Snežniško hribovje",Veliki Modrasovec,469877,87,7,2,1353,vrh
"Goriško, Notranjsko in Snežniško hribovje",Bukov Vrh (Trnovski gozd),287802,68,0,4,1314,vrh
"Goriško, Notranjsko in Snežniško hribovje",Suhi vrh (Nanos),635157,97,10,3,1313,vrh
"Goriško, Notranjsko in Snežniško hribovje",Mali Modrasovec,326334,73,3,4,1305,vrh
"Goriško, Notranjsko in Snežniško hribovje",Poldanovec,462904,87,3,4,1299,vrh
"Goriško, Notranjsko in Snežniško hribovje",Goteniški Snežnik,382840,79,2,2,1289,vrh
"Goriško, Notranjsko in Snežniško hribovje",Srednja gora (Hrušica),265324,65,2,1,1275,vrh
"Goriško, Notranjsko in Snežniško hribovje",Veliki Javornik (Javorniki),519957,92,3,8,1268,vrh
"Goriško, Notranjsko in Snežniško hribovje",Streliški vrh (Hrušica),294240,69,2,4,1266,vrh
"Goriško, Notranjsko in Snežniško hribovje",Iztokova koča pod Golaki,494016,90,3,7,1260,koča
"Goriško, Notranjsko in Snežniško hribovje",Turn,275277,67,1,2,1254,vrh
"Goriško, Notranjsko in Snežniško hribovje",Kuk (Kolovrat),472950,88,3,9,1243,vrh
"Goriško, Notranjsko in Snežniško hribovje",Dom na Sviščakih,355360,76,1,1,1242,koča
"Goriško, Notranjsko in Snežniško hribovje",Koča Antona Bavčerja na Čavnu,564975,94,7,7,1242,koča
"Goriško, Notranjsko in Snežniško hribovje",Javornik nad Črnim Vrhom,568275,95,8,7,1240,vrh
"Goriško, Notranjsko in Snežniško hribovje",Vojkova koča na Nanosu,931512,99,16,13,1240,"vrh, koča"
"Goriško, Notranjsko in Snežniško hribovje",Veliki Rob,480763,89,10,9,1237,vrh
