ime,vrsta
Snežnik,vrh
Snežnik,koča
Snežnik,vrh
Snežnik,koča
Mali Snežnik,vrh
Mali Snežnik,vrh
Mali Golak,vrh
Mali Golak,vrh
Srednji Golak,vrh
Srednji Golak,vrh
Smrekov vrh,vrh
Smrekov vrh,vrh
Mrzovec,vrh
Mrzovec,vrh
Veliki Modrasovec,vrh
Veliki Modrasovec,vrh
Bukov Vrh (Trnovski gozd),vrh
Bukov Vrh (Trnovski gozd),vrh
Suhi vrh (Nanos),vrh
Suhi vrh (Nanos),vrh
Mali Modrasovec,vrh
Mali Modrasovec,vrh
Poldanovec,vrh
Poldanovec,vrh
Goteniški Snežnik,vrh
Goteniški Snežnik,vrh
Srednja gora (Hrušica),vrh
Srednja gora (Hrušica),vrh
Veliki Javornik (Javorniki),vrh
Veliki Javornik (Javorniki),vrh
Streliški vrh (Hrušica),vrh
Streliški vrh (Hrušica),vrh
Iztokova koča pod Golaki,koča
Iztokova koča pod Golaki,koča
Turn,vrh
Turn,vrh
Kuk (Kolovrat),vrh
Kuk (Kolovrat),vrh
Dom na Sviščakih,koča
Dom na Sviščakih,koča
Koča Antona Bavčerja na Čavnu,koča
Koča Antona Bavčerja na Čavnu,koča
Javornik nad Črnim Vrhom,vrh
Javornik nad Črnim Vrhom,vrh
Vojkova koča na Nanosu,vrh
Vojkova koča na Nanosu,koča
Vojkova koča na Nanosu,vrh
Vojkova koča na Nanosu,koča
Veliki Rob,vrh
Veliki Rob,vrh
Kucelj na Čavnu,vrh
Kucelj na Čavnu,vrh
Rezinski vrh,vrh
Rezinski vrh,vrh
Sveti Duh (Hrušica),vrh
Sveti Duh (Hrušica),cerkev
Sveti Duh (Hrušica),vrh
Sveti Duh (Hrušica),cerkev
Mali Javornik (Javorniki),vrh
Mali Javornik (Javorniki),vrh
Petelinjek,vrh
Petelinjek,vrh
Grmada (Nanos),vrh
Grmada (Nanos),vrh
Velika Jazbina,vrh
Velika Jazbina,vrh
Nagnoj,vrh
Nagnoj,vrh
Cerk,vrh
Cerk,vrh
Stanov rob,vrh
Stanov rob,vrh
Čaven,vrh
Čaven,vrh
Škol,vrh
Škol,vrh
Križna gora (Hrušica),vrh
Križna gora (Hrušica),vrh
Pirnatova koča na Javorniku,koča
Pirnatova koča na Javorniku,koča
Maj,vrh
Maj,vrh
Velika ledena jama v Paradani,vrh
Velika ledena jama v Paradani,vrh
Racna gora,vrh
Racna gora,vrh
Trinški vrh,vrh
Trinški vrh,vrh
Špičasti vrh,vrh
Špičasti vrh,vrh
Bela stena,vrh
Bela stena,vrh
Krokar,vrh
Krokar,vrh
Na gradu,vrh
Na gradu,vrh
Slivnica,vrh
Slivnica,vrh
Krim,vrh
Krim,koča
Krim,vrh
Krim,koča
Čelkov vrh,vrh
Čelkov vrh,vrh
Sveta Trojica,vrh
